cutoff,assembly_score
0.01,0.13081
0.12767,0.13145
0.16037,0.1316
0.17126,0.13203
0.17393,0.13261
0.17715,0.13327
0.19776,0.1338
0.21691,0.13437
0.23001,0.13484
0.23545,0.13538
0.23795,0.13593
0.2437,0.13336
0.25756,0.1333
0.28766,0.13367
0.30239,0.1341
0.30762,0.13452
0.3112,0.13495
0.32052,0.13536
0.32858,0.13577
0.35152,0.13491
0.38256,0.13516
0.38738,0.13523
0.40971,0.13288
0.41694,0.133
0.42014,0.13136
0.44497,0.13153
0.44592,0.13179
0.47387,0.13193
0.47487,0.13207
0.47822,0.13221
0.48761,0.13226
0.48937,0.13248
0.52874,0.13214
0.54791,0.13222
0.552,0.13118
0.55451,0.13073
0.5652,0.13062
0.56604,0.1306
0.57303,0.12876
0.57305,0.12881
0.57797,0.12886
0.58257,0.12874
0.58383,0.1287
0.58545,0.12866
0.58801,0.12853
0.58898,0.12814
0.59325,0.1281
0.594,0.12797
0.59403,0.12784
0.62318,0.12786
0.63044,0.12788
0.63218,0.12789
0.6397,0.12729
0.64044,0.12729
0.64052,0.12713
0.64182,0.12714
0.64334,0.12688
0.64951,0.12689
0.65109,0.12672
0.65484,0.12601
0.65497,0.12602
0.65962,0.12602
0.6609,0.12549
0.67056,0.12521
0.67299,0.12502
0.67502,0.12125
0.67697,0.12088
0.6791,0.11979
0.67944,0.11968
0.68078,0.11931
0.68534,0.11622
0.6938,0.1161
0.69711,0.11598
0.69757,0.11568
0.70442,0.11556
0.72609,0.11542
0.72632,0.11528
0.72636,0.11295
0.72908,0.11281
0.73086,0.11267
0.73432,0.11215
0.73592,0.11201
0.73779,0.1114
0.73822,0.11126
0.7386,0.11028
0.75006,0.10976
0.75292,0.10933
0.75759,0.10907
0.77041,0.10872
0.77238,0.10744
0.77409,0.10708
0.77471,0.10654
0.77539,0.10609
0.7777,0.10582
0.77781,0.10546
0.78261,0.10501
0.78347,0.10465
0.7835,0.10428
0.78465,0.1028
0.7874,0.10225
0.78802,0.10188
0.78843,0.09984
0.79185,0.09966
0.79381,0.09947
0.79447,0.09901
0.7948,0.09854
0.79497,0.09789
0.79825,0.09733
0.80251,0.09714
0.81003,0.09676
0.81107,0.0961
0.81305,0.09345
0.81612,0.09297
0.81612,0.09277
0.81982,0.09163
0.82209,0.08311
0.82228,0.0794
0.82628,0.07899
0.82659,0.0783
0.8274,0.07714
0.83123,0.07683
0.83278,0.06273
0.83727,0.06136
0.84285,0.06103
0.8429,0.06079
0.84309,0.06027
0.8471,0.05994
0.85048,0.0597
0.85213,0.05851
0.85382,0.05769
0.8587,0.05745
0.86338,0.0572
0.86993,0.05676
0.87012,0.05632
0.87568,0.05118
0.8776,0.05025
0.88121,0.04999
0.88702,0.04954
0.89711,0.0489
0.90278,0.04824
0.90695,0.04721
0.91016,0.04675
0.91191,0.04648
0.91432,0.04572
0.91445,0.04545
0.91617,0.042
0.91629,0.04144
0.91668,0.04087
0.91709,0.04041
0.9192,0.04004
0.92174,0.03976
0.92253,0.03891
0.92431,0.03873
0.9248,0.03816
0.92589,0.0376
0.926,0.03713
0.92655,0.03695
0.92666,0.03667
0.92933,0.03639
0.93188,0.03563
0.9343,0.03535
0.93622,0.03497
0.93729,0.03469
0.93799,0.03441
0.94057,0.03404
0.94105,0.03356
0.94304,0.03319
0.94466,0.033
0.94492,0.03224
0.94541,0.03166
0.94553,0.03099
0.94662,0.0307
0.94707,0.03042
0.94726,0.02975
0.94922,0.02927
0.95032,0.02898
0.95356,0.0286
0.95567,0.02802
0.9567,0.02773
0.95734,0.02725
0.95777,0.02687
0.95793,0.02648
0.95793,0.0259
0.95865,0.02571
0.95914,0.02523
0.95915,0.02504
0.95931,0.02436
0.95936,0.02407
0.96013,0.02359
0.96117,0.0233
0.96138,0.02311
0.96193,0.02233
0.96311,0.02145
0.96421,0.02107
0.96424,0.02078
0.96519,0.02039
0.96547,0.0201
0.9658,0.01981
0.9661,0.01962
0.96629,0.01923
0.96648,0.01904
0.96716,0.01835
0.96777,0.01816
0.96808,0.01777
0.96814,0.01728
0.96848,0.01709
0.96913,0.0168
0.9693,0.01651
0.9695,0.01603
0.96956,0.01554
0.96986,0.01515
0.97018,0.01456
0.97094,0.01427
0.97179,0.01388
0.97352,0.01359
0.97375,0.01329
0.97506,0.0131
0.9755,0.01271
0.97585,0.01242
0.97597,0.01212
0.97599,0.01173
0.97638,0.01154
0.97825,0.01124
0.97842,0.01105
0.97847,0.01066
0.97849,0.01017
0.97878,0.00967
0.98,0.00938
0.98033,0.00909
0.98067,0.00879
0.9807,0.00859
0.98213,0.0083
0.98243,0.008
0.98246,0.00771
0.98279,0.00751
0.98368,0.00702
0.98452,0.00672
0.98455,0.00653
0.98485,0.00633
0.98506,0.00613
0.98573,0.00594
0.98611,0.00544
0.98618,0.00525
0.9866,0.00505
0.98662,0.00485
0.98685,0.00426
0.98697,0.00396
0.98723,0.00367
0.98737,0.00347
0.98765,0.00327
0.98813,0.00307
0.98855,0.00288
0.98937,0.00268
0.98945,0.00248
0.98986,0.00228
0.991,0.00189
0.99107,0.00169
0.99199,0.00149
0.99204,0.00119
0.99224,0.00079
0.99228,0.0006
0.99267,0.0004
0.99315,0.0002
0.99388,0.0
