cutoff,assembly_score
0.01,0.05504
0.01842,0.05572
0.07925,0.05603
0.10256,0.05629
0.13349,0.05654
0.16913,0.05675
0.17784,0.05694
0.1781,0.05713
0.17891,0.05733
0.18013,0.05742
0.18174,0.05762
0.1975,0.05765
0.2088,0.05761
0.21313,0.05777
0.22209,0.05793
0.23463,0.05808
0.2373,0.05822
0.24096,0.0581
0.24146,0.05824
0.24676,0.05817
0.25126,0.05799
0.25319,0.05812
0.26731,0.05825
0.27777,0.05836
0.2796,0.05848
0.28084,0.05849
0.28352,0.0586
0.28443,0.05866
0.28479,0.05873
0.28685,0.05884
0.29446,0.05896
0.29786,0.05907
0.29854,0.05918
0.29977,0.05929
0.31401,0.05939
0.31491,0.05949
0.31588,0.0596
0.31633,0.0597
0.3172,0.0598
0.31737,0.0598
0.31794,0.05991
0.31914,0.06001
0.31988,0.06012
0.32417,0.06023
0.32602,0.06034
0.32891,0.06044
0.35408,0.06053
0.357,0.06061
0.36398,0.06069
0.36708,0.06071
0.37109,0.06073
0.37359,0.06081
0.37686,0.06059
0.38057,0.06067
0.38105,0.06074
0.38365,0.06075
0.386,0.06077
0.38934,0.06084
0.39194,0.06091
0.39837,0.06098
0.40244,0.06104
0.40541,0.0611
0.40554,0.06105
0.41194,0.06111
0.41754,0.06117
0.41994,0.06111
0.42911,0.06104
0.43131,0.06109
0.43178,0.06096
0.43263,0.06095
0.43812,0.061
0.43831,0.06105
0.43917,0.0611
0.44041,0.0609
0.44266,0.06089
0.44343,0.06094
0.4491,0.06092
0.44916,0.06091
0.45418,0.06096
0.4556,0.061
0.45698,0.06104
0.45864,0.06109
0.45873,0.06101
0.45989,0.06106
0.45992,0.0611
0.45996,0.06097
0.46036,0.06095
0.46167,0.061
0.46179,0.06105
0.46522,0.0611
0.46719,0.06109
0.4697,0.06119
0.47116,0.06124
0.47198,0.06129
0.47239,0.06127
0.47346,0.06126
0.47459,0.06131
0.47538,0.06142
0.47574,0.06148
0.47608,0.06147
0.4788,0.06134
0.47995,0.06157
0.48042,0.06157
0.48568,0.06163
0.4858,0.06163
0.4859,0.06169
0.48622,0.06189
0.48653,0.06196
0.48654,0.06203
0.48675,0.06178
0.48736,0.06185
0.48893,0.06193
0.48921,0.06225
0.48969,0.0622
0.49035,0.06229
0.49121,0.06247
0.49126,0.06257
0.49204,0.06266
0.49252,0.06276
0.49343,0.06286
0.49461,0.06283
0.4978,0.06272
0.49928,0.06262
0.50517,0.06244
0.50989,0.06247
0.52038,0.06235
0.52139,0.06125
0.52282,0.06085
0.52586,0.06031
0.52666,0.06025
0.52691,0.0602
0.54739,0.0602
0.5474,0.05985
0.54904,0.05985
0.5554,0.05949
0.55543,0.05949
0.55717,0.05941
0.56464,0.05934
0.56768,0.05926
0.5714,0.05925
0.57307,0.05902
0.57559,0.05901
0.57669,0.05893
0.57829,0.05885
0.57949,0.05877
0.58013,0.05877
0.58158,0.05876
0.58392,0.05861
0.591,0.05861
0.59375,0.0586
0.60382,0.05725
0.60601,0.05716
0.60616,0.05684
0.60828,0.05683
0.60942,0.05659
0.61272,0.05657
0.61315,0.05625
0.61553,0.05623
0.61787,0.05562
0.61895,0.05553
0.6204,0.05521
0.62092,0.05505
0.62127,0.05344
0.62209,0.05343
0.6275,0.05341
0.6278,0.0534
0.62843,0.05285
0.62844,0.05231
0.63034,0.0523
0.63221,0.05214
0.6325,0.05214
0.63334,0.05206
0.63543,0.05128
0.63831,0.05096
0.63974,0.05097
0.64188,0.05097
0.64412,0.05097
0.64545,0.0509
0.64758,0.05019
0.64762,0.05021
0.65683,0.05021
0.65922,0.04933
0.65947,0.04926
0.66972,0.04918
0.68085,0.04909
0.68213,0.04876
0.68889,0.04851
0.69016,0.04645
0.69881,0.04611
0.69901,0.04601
0.70155,0.04591
0.70855,0.04506
0.70882,0.04496
0.71177,0.04486
0.72075,0.03054
0.72494,0.03013
0.72618,0.0299
0.7293,0.02772
0.73413,0.02561
0.74482,0.02518
0.75147,0.0221
0.7569,0.02183
0.76098,0.02173
0.76294,0.02137
0.76419,0.02101
0.76534,0.01822
0.76692,0.01794
0.77264,0.01276
0.77801,0.01237
0.77995,0.01207
0.78054,0.01159
0.79016,0.0111
0.79045,0.01079
0.79584,0.01057
0.79698,0.01008
0.8068,0.00941
0.83397,0.00826
0.84188,0.0081
0.84474,0.00795
0.85368,0.00734
0.85456,0.007
0.85764,0.00675
0.85935,0.00659
0.86701,0.00513
0.88417,0.00486
0.89427,0.00422
0.90532,0.00395
0.91239,0.0034
0.91547,0.00293
0.91554,0.00247
0.9232,0.00219
0.93028,0.002
0.93331,0.00163
0.93976,0.00144
0.94092,0.00125
0.94651,0.00087
0.95418,0.00068
0.96843,0.00049
0.97684,0.00029
0.97758,0.0
