cutoff,assembly_score
0.01,0.0405
0.07693,0.04031
0.08413,0.04081
0.11868,0.04163
0.26156,0.04226
0.31867,0.04282
0.31874,0.04289
0.34395,0.04284
0.36852,0.04194
0.47873,0.04159
0.48891,0.04158
0.4934,0.04156
0.50137,0.0403
0.50526,0.04035
0.51626,0.04018
0.5293,0.03999
0.53062,0.03903
0.53456,0.03892
0.54553,0.03881
0.55941,0.03883
0.56325,0.0387
0.56374,0.03606
0.58567,0.03575
0.59523,0.03551
0.5965,0.03543
0.5965,0.03553
0.60061,0.03525
0.60181,0.03515
0.6027,0.03514
0.64262,0.03491
0.65192,0.03419
0.65932,0.03289
0.67348,0.03197
0.68067,0.03105
0.68543,0.02877
0.72642,0.02843
0.73542,0.01784
0.75038,0.01731
0.76122,0.01713
0.76881,0.01464
0.7806,0.01426
0.80233,0.00824
0.83153,0.00704
0.85816,0.00662
0.86101,0.00436
0.87312,0.00346
0.89683,0.00273
0.90734,0.00237
0.91375,0.00182
0.94646,0.00135
0.9561,0.00097
0.96498,0.00048
0.96814,NaN
