cutoff,assembly_score
0.01,0.10687
0.01198,0.10801
0.05743,0.10897
0.09291,0.10961
0.10077,0.11037
0.13073,0.10849
0.20861,0.10735
0.22113,0.1077
0.23441,0.10809
0.24746,0.10847
0.25503,0.10688
0.27039,0.10722
0.28532,0.10747
0.29886,0.10778
0.30259,0.10808
0.30643,0.10696
0.31637,0.10504
0.32052,0.10531
0.34077,0.10557
0.34261,0.10452
0.34948,0.1047
0.34993,0.10444
0.35504,0.10468
0.36007,0.10492
0.36948,0.10515
0.37398,0.10537
0.38738,0.10537
0.39533,0.10558
0.39947,0.10571
0.40701,0.10576
0.40939,0.10596
0.41168,0.10608
0.42644,0.1059
0.42895,0.10608
0.43143,0.10627
0.4337,0.10592
0.43753,0.10588
0.43794,0.10606
0.43821,0.10625
0.43933,0.10636
0.44592,0.10654
0.4515,0.10664
0.45954,0.10674
0.46321,0.10683
0.47042,0.107
0.4707,0.10571
0.4716,0.10579
0.47487,0.10588
0.47705,0.10566
0.48014,0.10551
0.48065,0.1056
0.48251,0.10576
0.48312,0.10577
0.48582,0.10594
0.48605,0.10595
0.49546,0.10595
0.49838,0.10596
0.50311,0.10596
0.51175,0.10579
0.52185,0.10545
0.52722,0.10551
0.54248,0.1054
0.54284,0.10544
0.54791,0.10549
0.55413,0.10552
0.56033,0.10548
0.56149,0.10543
0.5652,0.1053
0.56808,0.10533
0.57305,0.10536
0.57334,0.10531
0.57835,0.10282
0.58318,0.10227
0.58545,0.10221
0.58691,0.10206
0.58801,0.10192
0.58859,0.10177
0.5906,0.10155
0.59062,0.10124
0.59325,0.10118
0.59326,0.1012
0.59834,0.10105
0.60443,0.10106
0.60898,0.10107
0.61626,0.10066
0.61997,0.10058
0.62005,0.09784
0.62264,0.09767
0.62411,0.09767
0.62715,0.09733
0.62749,0.09733
0.62987,0.09733
0.63044,0.09733
0.63133,0.09733
0.63179,0.09707
0.63343,0.09648
0.63428,0.09648
0.635,0.09615
0.63797,0.09564
0.63853,0.09564
0.64044,0.09564
0.64552,0.09316
0.64853,0.09144
0.65497,0.09142
0.66008,0.09141
0.66155,0.09139
0.66183,0.09137
0.66385,0.09136
0.66718,0.09108
0.66725,0.09098
0.67255,0.09062
0.67767,0.08955
0.67802,0.08848
0.6807,0.08837
0.68172,0.08799
0.69555,0.0877
0.69601,0.08749
0.69623,0.08719
0.69711,0.08707
0.6984,0.08695
0.69994,0.08674
0.702,0.08635
0.70963,0.0841
0.71067,0.08388
0.71497,0.08375
0.7156,0.0813
0.71594,0.08117
0.72016,0.08094
0.72078,0.08027
0.7215,0.08014
0.7261,0.08
0.7317,0.0795
0.73261,0.07836
0.73519,0.07822
0.73581,0.07798
0.74129,0.07775
0.74207,0.07588
0.74248,0.07564
0.74671,0.07458
0.74737,0.07406
0.74839,0.07382
0.74891,0.07248
0.76552,0.07223
0.77273,0.07197
0.77577,0.07078
0.77578,0.07043
0.77899,0.06998
0.77969,0.06944
0.78059,0.0688
0.78353,0.06854
0.78692,0.06808
0.7874,0.06754
0.7921,0.06689
0.79346,0.06625
0.79507,0.06374
0.80775,0.06336
0.8085,0.0627
0.8116,0.06157
0.81612,0.06109
0.82171,0.05779
0.82391,0.0574
0.8244,0.05682
0.82512,0.04832
0.82659,0.04763
0.82998,0.04751
0.83017,0.03348
0.83123,0.03315
0.84099,0.03281
0.84715,0.03257
0.84744,0.03166
0.84972,0.03075
0.85048,0.0305
0.85691,0.02978
0.85866,0.02953
0.86993,0.02908
0.87301,0.02882
0.8983,0.02856
0.89905,0.02791
0.90748,0.02735
0.91005,0.02708
0.91282,0.02652
0.91438,0.02606
0.92174,0.02579
0.92253,0.02522
0.92283,0.02504
0.92368,0.02448
0.92431,0.0243
0.9254,0.02403
0.92589,0.02365
0.92666,0.02338
0.92852,0.02262
0.92999,0.02215
0.93069,0.02148
0.93567,0.02101
0.93814,0.02024
0.94057,0.01987
0.94171,0.01949
0.94256,0.0192
0.94376,0.01873
0.94662,0.01844
0.94669,0.01816
0.94688,0.01797
0.94799,0.01769
0.94818,0.01721
0.95096,0.01683
0.95192,0.01655
0.95338,0.01597
0.95359,0.01549
0.95461,0.01501
0.95601,0.01472
0.95727,0.01433
0.95777,0.01395
0.95793,0.01337
0.95915,0.01318
0.96102,0.0125
0.96138,0.01231
0.96199,0.01183
0.96279,0.01144
0.96317,0.01076
0.96424,0.01047
0.96519,0.01008
0.9661,0.00989
0.96663,0.0096
0.96688,0.00931
0.96777,0.00911
0.96808,0.00873
0.96814,0.00824
0.96902,0.00805
0.96913,0.00775
0.9693,0.00746
0.9695,0.00727
0.97151,0.00698
0.97497,0.00659
0.97506,0.00639
0.9755,0.006
0.97569,0.00551
0.97585,0.00522
0.97599,0.00502
0.97638,0.00483
0.97743,0.00454
0.97778,0.00424
0.97825,0.00395
0.98033,0.00365
0.98067,0.00336
0.9807,0.00316
0.98085,0.00267
0.98239,0.00247
0.98455,0.00228
0.98485,0.00208
0.98618,0.00188
0.9866,0.00169
0.98765,0.00149
0.98986,0.00129
0.991,0.00109
0.99199,0.00089
0.99204,0.0006
0.99224,0.0004
0.99315,0.0002
0.99388,NaN
